last_changed,entity_id,state
2024-07-22 15:30:00,sensor.fimer_inverter_dc_power,640
2024-07-22 15:45:00,sensor.fimer_inverter_dc_power,760
2024-07-22 16:00:00,sensor.fimer_inverter_dc_power,1130
2024-07-22 16:15:00,sensor.fimer_inverter_dc_power,1260
2024-07-22 16:30:00,sensor.fimer_inverter_dc_power,1320
2024-07-22 16:45:00,sensor.fimer_inverter_dc_power,550
2024-07-22 17:00:00,sensor.fimer_inverter_dc_power,450
2024-07-22 17:15:00,sensor.fimer_inverter_dc_power,510
2024-07-22 17:30:00,sensor.fimer_inverter_dc_power,390
2024-07-22 17:45:00,sensor.fimer_inverter_dc_power,340
2024-07-22 18:00:00,sensor.fimer_inverter_dc_power,290
2024-07-22 18:15:00,sensor.fimer_inverter_dc_power,260
2024-07-22 18:30:00,sensor.fimer_inverter_dc_power,310
2024-07-22 18:45:00,sensor.fimer_inverter_dc_power,240
2024-07-22 19:00:00,sensor.fimer_inverter_dc_power,170
2024-07-22 19:15:00,sensor.fimer_inverter_dc_power,140
2024-07-22 19:30:00,sensor.fimer_inverter_dc_power,120
2024-07-22 19:45:00,sensor.fimer_inverter_dc_power,10
2024-07-23 00:30:00,sensor.fimer_inverter_dc_power,unavailable
2024-07-23 06:00:00,sensor.fimer_inverter_dc_power,40
2024-07-23 06:15:00,sensor.fimer_inverter_dc_power,80
2024-07-23 06:30:00,sensor.fimer_inverter_dc_power,110
2024-07-23 06:45:00,sensor.fimer_inverter_dc_power,210
2024-07-23 07:00:00,sensor.fimer_inverter_dc_power,300
2024-07-23 07:15:00,sensor.fimer_inverter_dc_power,390
2024-07-23 07:30:00,sensor.fimer_inverter_dc_power,710
2024-07-23 07:45:00,sensor.fimer_inverter_dc_power,980
2024-07-23 08:00:00,sensor.fimer_inverter_dc_power,1230
2024-07-23 08:15:00,sensor.fimer_inverter_dc_power,1040
2024-07-23 08:30:00,sensor.fimer_inverter_dc_power,1680
2024-07-23 08:45:00,sensor.fimer_inverter_dc_power,1850
2024-07-23 09:00:00,sensor.fimer_inverter_dc_power,2030
2024-07-23 09:15:00,sensor.fimer_inverter_dc_power,2210
2024-07-23 09:30:00,sensor.fimer_inverter_dc_power,2360
2024-07-23 09:45:00,sensor.fimer_inverter_dc_power,2550
2024-07-23 10:00:00,sensor.fimer_inverter_dc_power,2650
2024-07-23 10:15:00,sensor.fimer_inverter_dc_power,2800
2024-07-23 10:30:00,sensor.fimer_inverter_dc_power,2900
2024-07-23 10:45:00,sensor.fimer_inverter_dc_power,3040
2024-07-23 11:00:00,sensor.fimer_inverter_dc_power,3110
2024-07-23 11:15:00,sensor.fimer_inverter_dc_power,3170
2024-07-23 11:30:00,sensor.fimer_inverter_dc_power,3240
2024-07-23 11:45:00,sensor.fimer_inverter_dc_power,3230
2024-07-23 12:00:00,sensor.fimer_inverter_dc_power,3290
2024-07-23 12:15:00,sensor.fimer_inverter_dc_power,3330
2024-07-23 12:30:00,sensor.fimer_inverter_dc_power,3300
2024-07-23 12:45:00,sensor.fimer_inverter_dc_power,3300
2024-07-23 13:00:00,sensor.fimer_inverter_dc_power,3330
2024-07-23 13:15:00,sensor.fimer_inverter_dc_power,3260
2024-07-23 13:30:00,sensor.fimer_inverter_dc_power,3230
2024-07-23 13:45:00,sensor.fimer_inverter_dc_power,3200
2024-07-23 14:00:00,sensor.fimer_inverter_dc_power,3070
2024-07-23 14:15:00,sensor.fimer_inverter_dc_power,3030
2024-07-23 14:30:00,sensor.fimer_inverter_dc_power,2930
2024-07-23 14:45:00,sensor.fimer_inverter_dc_power,2830
2024-07-23 15:00:00,sensor.fimer_inverter_dc_power,2730
2024-07-23 15:15:00,sensor.fimer_inverter_dc_power,2620
2024-07-23 15:30:00,sensor.fimer_inverter_dc_power,2470
2024-07-23 15:45:00,sensor.fimer_inverter_dc_power,2340
2024-07-23 16:00:00,sensor.fimer_inverter_dc_power,2150
2024-07-23 16:15:00,sensor.fimer_inverter_dc_power,1970
2024-07-23 16:30:00,sensor.fimer_inverter_dc_power,1780
2024-07-23 16:45:00,sensor.fimer_inverter_dc_power,1600
2024-07-23 17:00:00,sensor.fimer_inverter_dc_power,1410
2024-07-23 17:15:00,sensor.fimer_inverter_dc_power,1200
2024-07-23 17:30:00,sensor.fimer_inverter_dc_power,980
2024-07-23 17:45:00,sensor.fimer_inverter_dc_power,810
2024-07-23 18:00:00,sensor.fimer_inverter_dc_power,620
2024-07-23 18:15:00,sensor.fimer_inverter_dc_power,460
2024-07-23 18:30:00,sensor.fimer_inverter_dc_power,320
2024-07-23 18:45:00,sensor.fimer_inverter_dc_power,220
2024-07-23 19:00:00,sensor.fimer_inverter_dc_power,170
2024-07-23 19:15:00,sensor.fimer_inverter_dc_power,130
2024-07-23 19:30:00,sensor.fimer_inverter_dc_power,90
2024-07-23 19:45:00,sensor.fimer_inverter_dc_power,40
2024-07-23 20:00:00,sensor.fimer_inverter_dc_power,0
2024-07-23 21:00:00,sensor.fimer_inverter_dc_power,unavailable
2024-07-24 00:30:00,sensor.fimer_inverter_dc_power,unavailable
2024-07-24 06:00:00,sensor.fimer_inverter_dc_power,40
2024-07-24 06:15:00,sensor.fimer_inverter_dc_power,80
2024-07-24 06:30:00,sensor.fimer_inverter_dc_power,110
2024-07-24 06:45:00,sensor.fimer_inverter_dc_power,140
2024-07-24 07:00:00,sensor.fimer_inverter_dc_power,290
2024-07-24 07:15:00,sensor.fimer_inverter_dc_power,490
2024-07-24 07:30:00,sensor.fimer_inverter_dc_power,540
2024-07-24 07:45:00,sensor.fimer_inverter_dc_power,960
2024-07-24 08:00:00,sensor.fimer_inverter_dc_power,1280
2024-07-24 08:15:00,sensor.fimer_inverter_dc_power,1500
2024-07-24 08:30:00,sensor.fimer_inverter_dc_power,1710
2024-07-24 08:45:00,sensor.fimer_inverter_dc_power,1920
2024-07-24 09:00:00,sensor.fimer_inverter_dc_power,2080
2024-07-24 09:15:00,sensor.fimer_inverter_dc_power,2240
2024-07-24 09:30:00,sensor.fimer_inverter_dc_power,2410
2024-07-24 09:45:00,sensor.fimer_inverter_dc_power,2540
2024-07-24 10:00:00,sensor.fimer_inverter_dc_power,2700
2024-07-24 10:15:00,sensor.fimer_inverter_dc_power,2800
2024-07-24 10:30:00,sensor.fimer_inverter_dc_power,2880
2024-07-24 10:45:00,sensor.fimer_inverter_dc_power,2990
2024-07-24 11:00:00,sensor.fimer_inverter_dc_power,3090
2024-07-24 11:15:00,sensor.fimer_inverter_dc_power,3140
2024-07-24 11:30:00,sensor.fimer_inverter_dc_power,3200
2024-07-24 11:45:00,sensor.fimer_inverter_dc_power,3220
