entity_id,state,last_changed
sensor.fimer_inverter_dc_power,720,2024-07-21 07:30:19.214
sensor.fimer_inverter_dc_power,670,2024-07-21 07:30:49.255
sensor.fimer_inverter_dc_power,710,2024-07-21 07:31:19.329
sensor.fimer_inverter_dc_power,750,2024-07-21 07:31:49.265
sensor.fimer_inverter_dc_power,650,2024-07-21 07:32:19.258
sensor.fimer_inverter_dc_power,630,2024-07-21 07:32:49.262
sensor.fimer_inverter_dc_power,590,2024-07-21 07:33:19.350
sensor.fimer_inverter_dc_power,650,2024-07-21 07:33:49.235
sensor.fimer_inverter_dc_power,640,2024-07-21 07:34:49.214
sensor.fimer_inverter_dc_power,670,2024-07-21 07:35:19.212
sensor.fimer_inverter_dc_power,710,2024-07-21 07:35:49.295
sensor.fimer_inverter_dc_power,720,2024-07-21 07:36:19.279
sensor.fimer_inverter_dc_power,740,2024-07-21 07:36:49.288
sensor.fimer_inverter_dc_power,800,2024-07-21 07:37:19.239
sensor.fimer_inverter_dc_power,820,2024-07-21 07:37:49.263
sensor.fimer_inverter_dc_power,840,2024-07-21 07:38:19.289
sensor.fimer_inverter_dc_power,820,2024-07-21 07:38:49.154
sensor.fimer_inverter_dc_power,810,2024-07-21 07:39:19.276
sensor.fimer_inverter_dc_power,870,2024-07-21 07:40:19.344
sensor.fimer_inverter_dc_power,840,2024-07-21 07:40:49.371
sensor.fimer_inverter_dc_power,940,2024-07-21 07:41:49.230
sensor.fimer_inverter_dc_power,910,2024-07-21 07:42:19.266
sensor.fimer_inverter_dc_power,940,2024-07-21 07:43:19.270
sensor.fimer_inverter_dc_power,990,2024-07-21 07:44:19.200
sensor.fimer_inverter_dc_power,1000,2024-07-21 07:44:49.214
sensor.fimer_inverter_dc_power,1010,2024-07-21 07:45:19.322
sensor.fimer_inverter_dc_power,1030,2024-07-21 07:45:49.244
sensor.fimer_inverter_dc_power,1040,2024-07-21 07:46:19.177
sensor.fimer_inverter_dc_power,1050,2024-07-21 07:46:49.301
sensor.fimer_inverter_dc_power,1060,2024-07-21 07:47:19.328
sensor.fimer_inverter_dc_power,1080,2024-07-21 07:47:49.262
sensor.fimer_inverter_dc_power,1070,2024-07-21 07:48:19.345
sensor.fimer_inverter_dc_power,1080,2024-07-21 07:48:49.355
sensor.fimer_inverter_dc_power,1090,2024-07-21 07:49:19.158
sensor.fimer_inverter_dc_power,1110,2024-07-21 07:49:49.183
sensor.fimer_inverter_dc_power,1100,2024-07-21 07:50:19.368
sensor.fimer_inverter_dc_power,1120,2024-07-21 07:50:49.274
sensor.fimer_inverter_dc_power,1130,2024-07-21 07:51:49.159
sensor.fimer_inverter_dc_power,1140,2024-07-21 07:52:19.276
sensor.fimer_inverter_dc_power,1120,2024-07-21 07:52:49.249
sensor.fimer_inverter_dc_power,1140,2024-07-21 07:53:19.358
sensor.fimer_inverter_dc_power,1150,2024-07-21 07:54:19.249
sensor.fimer_inverter_dc_power,1160,2024-07-21 07:55:19.260
sensor.fimer_inverter_dc_power,1170,2024-07-21 07:55:49.262
sensor.fimer_inverter_dc_power,1200,2024-07-21 07:56:49.399
sensor.fimer_inverter_dc_power,1180,2024-07-21 07:57:19.263
sensor.fimer_inverter_dc_power,1210,2024-07-21 07:57:49.215
sensor.fimer_inverter_dc_power,1220,2024-07-21 07:58:19.291
sensor.fimer_inverter_dc_power,1240,2024-07-21 07:59:19.284
sensor.fimer_inverter_dc_power,1270,2024-07-21 08:00:19.326
sensor.fimer_inverter_dc_power,1280,2024-07-21 08:01:19.228
sensor.fimer_inverter_dc_power,1290,2024-07-21 08:01:49.207
sensor.fimer_inverter_dc_power,1310,2024-07-21 08:02:49.203
sensor.fimer_inverter_dc_power,1300,2024-07-21 08:03:19.201
sensor.fimer_inverter_dc_power,1330,2024-07-21 08:03:49.226
sensor.fimer_inverter_dc_power,1350,2024-07-21 08:04:49.158
sensor.fimer_inverter_dc_power,1360,2024-07-21 08:05:19.155
sensor.fimer_inverter_dc_power,1350,2024-07-21 08:06:19.335
sensor.fimer_inverter_dc_power,1370,2024-07-21 08:06:49.377
sensor.fimer_inverter_dc_power,1360,2024-07-21 08:07:19.308
sensor.fimer_inverter_dc_power,1380,2024-07-21 08:09:19.347
sensor.fimer_inverter_dc_power,1360,2024-07-21 08:09:49.366
sensor.fimer_inverter_dc_power,1390,2024-07-21 08:10:19.465
sensor.fimer_inverter_dc_power,1380,2024-07-21 08:10:49.230
sensor.fimer_inverter_dc_power,1390,2024-07-21 08:11:19.268
sensor.fimer_inverter_dc_power,1380,2024-07-21 08:11:49.342
sensor.fimer_inverter_dc_power,1370,2024-07-21 08:12:19.277
sensor.fimer_inverter_dc_power,1410,2024-07-21 08:12:49.409
sensor.fimer_inverter_dc_power,1420,2024-07-21 08:13:19.193
sensor.fimer_inverter_dc_power,1440,2024-07-21 08:13:49.323
sensor.fimer_inverter_dc_power,1450,2024-07-21 08:14:49.422
sensor.fimer_inverter_dc_power,1470,2024-07-21 08:15:19.202
sensor.fimer_inverter_dc_power,1500,2024-07-21 08:16:19.380
sensor.fimer_inverter_dc_power,1480,2024-07-21 08:16:49.233
sensor.fimer_inverter_dc_power,1500,2024-07-21 08:17:19.303
sensor.fimer_inverter_dc_power,1510,2024-07-21 08:18:19.202
sensor.fimer_inverter_dc_power,1530,2024-07-21 08:18:49.458
sensor.fimer_inverter_dc_power,1520,2024-07-21 08:19:19.229
sensor.fimer_inverter_dc_power,1550,2024-07-21 08:19:49.340
sensor.fimer_inverter_dc_power,1540,2024-07-21 08:20:19.217
sensor.fimer_inverter_dc_power,1530,2024-07-21 08:20:49.249
sensor.fimer_inverter_dc_power,1560,2024-07-21 08:21:19.234
sensor.fimer_inverter_dc_power,1550,2024-07-21 08:21:49.233
sensor.fimer_inverter_dc_power,1580,2024-07-21 08:22:19.281
sensor.fimer_inverter_dc_power,1590,2024-07-21 08:22:49.283
sensor.fimer_inverter_dc_power,1550,2024-07-21 08:23:19.245
sensor.fimer_inverter_dc_power,1610,2024-07-21 08:23:49.273
sensor.fimer_inverter_dc_power,1600,2024-07-21 08:24:19.428
sensor.fimer_inverter_dc_power,1620,2024-07-21 08:24:49.201
sensor.fimer_inverter_dc_power,1630,2024-07-21 08:25:19.194
sensor.fimer_inverter_dc_power,1650,2024-07-21 08:27:19.202
sensor.fimer_inverter_dc_power,1630,2024-07-21 08:27:49.187
sensor.fimer_inverter_dc_power,1650,2024-07-21 08:28:19.400
sensor.fimer_inverter_dc_power,1660,2024-07-21 08:29:19.182
sensor.fimer_inverter_dc_power,1670,2024-07-21 08:29:49.204
sensor.fimer_inverter_dc_power,1660,2024-07-21 08:30:19.201
sensor.fimer_inverter_dc_power,1690,2024-07-21 08:30:49.198
sensor.fimer_inverter_dc_power,1650,2024-07-21 08:31:19.192
sensor.fimer_inverter_dc_power,1680,2024-07-21 08:31:49.251
sensor.fimer_inverter_dc_power,1710,2024-07-21 08:32:49.242
sensor.fimer_inverter_dc_power,1730,2024-07-21 08:33:19.204
