date,temperature_2m,relative_humidity_2m
2025-02-19 02:00:00+00:00,7.2549996,90.0
2025-02-19 03:00:00+00:00,7.355,91.0
2025-02-19 04:00:00+00:00,7.105,92.0
2025-02-19 05:00:00+00:00,6.7549996,93.0
2025-02-19 06:00:00+00:00,6.9049997,92.0
2025-02-19 07:00:00+00:00,7.9549994,87.0
2025-02-19 08:00:00+00:00,9.505,81.0
2025-02-19 09:00:00+00:00,10.8550005,74.0
2025-02-19 10:00:00+00:00,11.8550005,67.0
2025-02-19 11:00:00+00:00,12.705,59.0
2025-02-19 12:00:00+00:00,13.255,54.0
2025-02-19 13:00:00+00:00,13.405001,52.0
2025-02-19 14:00:00+00:00,13.305,53.0
2025-02-19 15:00:00+00:00,12.755,56.0
2025-02-19 16:00:00+00:00,11.6050005,62.0
2025-02-19 17:00:00+00:00,10.1050005,69.0
2025-02-19 18:00:00+00:00,8.8550005,76.0
2025-02-19 19:00:00+00:00,8.055,80.0
2025-02-19 20:00:00+00:00,7.455,83.0
2025-02-19 21:00:00+00:00,7.055,86.0
2025-02-19 22:00:00+00:00,6.7549996,89.0
2025-02-19 23:00:00+00:00,6.6549997,91.0
