entity_id,state,last_changed
sensor.fimer_inverter_dc_power,2207.394241547222,2023-09-22T09:00:00.000Z
sensor.fimer_inverter_dc_power,2851.3103082638886,2023-09-22T10:00:00.000Z
sensor.fimer_inverter_dc_power,3183.9286918750004,2023-09-22T11:00:00.000Z
sensor.fimer_inverter_dc_power,3252.8252414305553,2023-09-22T12:00:00.000Z
sensor.fimer_inverter_dc_power,3098.581546211111,2023-09-22T13:00:00.000Z
sensor.fimer_inverter_dc_power,2686.2147930916667,2023-09-22T14:00:00.000Z
sensor.fimer_inverter_dc_power,2016.685876861111,2023-09-22T15:00:00.000Z
sensor.fimer_inverter_dc_power,1215.9248402055555,2023-09-22T16:00:00.000Z
sensor.fimer_inverter_dc_power,458.33955975833345,2023-09-22T17:00:00.000Z
sensor.fimer_inverter_dc_power,49.95155695277777,2023-09-22T18:00:00.000Z
sensor.fimer_inverter_dc_power,0,2023-09-22T19:00:00.000Z
sensor.fimer_inverter_dc_power,0,2023-09-22T20:00:00.000Z
sensor.fimer_inverter_dc_power,11.43171216111111,2023-09-23T06:00:00.000Z
sensor.fimer_inverter_dc_power,300.45125654444445,2023-09-23T07:00:00.000Z
sensor.fimer_inverter_dc_power,958.8803636861111,2023-09-23T08:00:00.000Z
sensor.fimer_inverter_dc_power,2169.0480389333334,2023-09-23T09:00:00.000Z
sensor.fimer_inverter_dc_power,2825.719359622222,2023-09-23T10:00:00.000Z
sensor.fimer_inverter_dc_power,3157.274057133333,2023-09-23T11:00:00.000Z
sensor.fimer_inverter_dc_power,3203.2697166111116,2023-09-23T12:00:00.000Z
sensor.fimer_inverter_dc_power,3071.5520486416667,2023-09-23T13:00:00.000Z
sensor.fimer_inverter_dc_power,2342.6891668722224,2023-09-23T14:00:00.000Z
sensor.fimer_inverter_dc_power,1627.5983385972222,2023-09-23T15:00:00.000Z
sensor.fimer_inverter_dc_power,1017.1382466888889,2023-09-23T16:00:00.000Z
sensor.fimer_inverter_dc_power,201.1951799166667,2023-09-23T17:00:00.000Z
sensor.fimer_inverter_dc_power,17.774577447222224,2023-09-23T18:00:00.000Z
sensor.fimer_inverter_dc_power,0,2023-09-23T19:00:00.000Z
sensor.fimer_inverter_dc_power,0,2023-09-23T20:00:00.000Z
sensor.fimer_inverter_dc_power,2912.136664751607,2023-09-24T09:00:00.000Z
sensor.fimer_inverter_dc_power,3198.355142697222,2023-09-24T10:00:00.000Z
sensor.fimer_inverter_dc_power,3457.8968631416665,2023-09-24T11:00:00.000Z
sensor.fimer_inverter_dc_power,3024.0795447555556,2023-09-24T12:00:00.000Z
sensor.fimer_inverter_dc_power,2395.3894459750004,2023-09-24T13:00:00.000Z
